DrugCode|Name|Formulation|Strength|Count|L1Rate|L1Lab
MED1008|A-Methapred|Tablet|100mg|59|297.28|MED1008
MED1009|Abacavir and Lamivudine Film-coated Tablets|Tablet|100mg|75|985.77|MED1009
MED1010|Abacavir Sulfate|Tablet|100mg|67|764.94|MED1010
MED1011|Abacavir Sulfate and Lamivudine Tablets|Tablet|100mg|91|593.79|MED1011
MED1012|Abacavir Sulfate, Lamivudine, and Zidovudine|Tablet|100mg|87|377.36|MED1012
MED1013|Abacavir, Dolutegravir, and Lamivudine Film-coated Tablets|Tablet|100mg|79|102.34|MED1013
MED1014|Abaloparatide Injection|Injection|100mg|56|406.00|MED1014
MED1015|Abametapir Lotion|Lotion|100mg|63|396.67|MED1015
MED1016|Abarelix|Tablet|100mg|28|650.24|MED1016
MED1017|Abatacept|Tablet|100mg|62|108.91|MED1017
MED1018|Abciximab|Tablet|100mg|44|597.66|MED1018
MED1019|Abecma|Suspension|100mg|87|730.19|MED1019
MED1020|Abelcet|Injection|100mg|81|100.20|MED1020
MED1021|Abemaciclib Tablets|Tablet|100mg|29|876.65|MED1021
MED1022|Abilify|Tablet|100mg|46|730.24|MED1022
MED1023|Abilify Asimtufii|Injection|100mg|79|688.54|MED1023
MED1024|Abilify Maintena|Injection|100mg|47|357.62|MED1024
MED1025|Abilify MyCite|Tablet|100mg|67|770.54|MED1025
MED1026|Abiraterone Acetate Tablets|Tablet|100mg|82|751.97|MED1026
MED1027|Abiraterone Acetate Tablets|Tablet|100mg|88|836.36|MED1027
MED1028|Ablavar|Injection|100mg|47|813.87|MED1028
MED1029|Ablysinol|Tablet|100mg|80|656.44|MED1029
MED1030|Abobotulinumtoxin A Injection|Injection|100mg|65|300.75|MED1030
MED1031|Abraxane|Injection|100mg|35|193.87|MED1031
MED1032|Abreva|Cream|100mg|46|345.72|MED1032
MED1033|Abrilada|Injection|100mg|44|279.67|MED1033
MED1034|Abrocitinib Tablets|Tablet|100mg|51|998.72|MED1034
MED1035|Abrysvo|Injection|100mg|62|574.94|MED1035
MED1036|Absorbable Gelatin Compressed Sponge, USP|Tablet|100mg|50|485.55|MED1036
MED1037|Absorbable Gelatin Dental Sponge|Tablet|100mg|98|234.91|MED1037
MED1038|Absorbable Gelatin Powder|Powder|100mg|79|309.52|MED1038
MED1039|Absorbable Gelatin Sponge, USP|Tablet|100mg|24|180.06|MED1039
MED1040|Absorbable Gelatin Sterile Ophthalmic Film|Film|100mg|29|505.17|MED1040
MED1041|Absorica|Tablet|100mg|78|949.73|MED1041
MED1042|Absorica LD|Capsule|100mg|53|340.72|MED1042
MED1043|Abstral|Tablet|100mg|47|570.84|MED1043
MED1044|Acalabrutinib Capsules|Capsule|100mg|54|445.86|MED1044
MED1045|ACAM2000|Tablet|100mg|69|159.78|MED1045
MED1046|Acamprosate Calcium|Tablet|100mg|12|670.60|MED1046
MED1047|Acanya Gel|Tablet|100mg|86|201.83|MED1047
MED1048|Acarbose|Tablet|100mg|52|741.65|MED1048
MED1049|Accolate|Tablet|100mg|15|842.85|MED1049
MED1050|Accretropin|Injection|100mg|55|967.91|MED1050
MED1051|Accrufer|Capsule|100mg|19|644.87|MED1051
MED1052|AccuNeb|Solution|100mg|26|134.95|MED1052
MED1053|Accupril|Tablet|100mg|13|949.05|MED1053
MED1054|Accuretic|Tablet|100mg|37|990.88|MED1054
MED1055|Accutane|Tablet|100mg|22|442.16|MED1055
MED1056|Accuzyme|Tablet|100mg|18|625.80|MED1056
MED1057|Acebutolol|Tablet|100mg|36|573.51|MED1057
MED1058|Aceclofenac Tablet, Film Coated|Tablet|100mg|76|282.70|MED1058
MED1059|Aceon|Tablet|100mg|32|609.15|MED1059
MED1060|Acephen|Tablet|100mg|34|544.10|MED1060
MED1061|Acetadote|Injection|100mg|32|456.67|MED1061
MED1062|Acetaminophen|Tablet|100mg|55|323.48|MED1062
MED1063|Acetaminophen and Codeine|Tablet|100mg|97|175.76|MED1063
MED1064|Acetaminophen and Ibuprofen Injection|Injection|100mg|92|215.80|MED1064
MED1065|Acetaminophen and Ibuprofen Tablets|Tablet|100mg|26|988.67|MED1065
MED1066|Acetaminophen for Injection|Injection|100mg|52|983.75|MED1066
MED1067|Acetaminophen Suppositories|Tablet|100mg|80|541.96|MED1067
MED1068|Acetaminophen, Caffeine and Dihydrocodeine Bitartrate|Capsule|100mg|48|384.82|MED1068
MED1069|Acetaminophen, Isometheptene and Dichloralphenazone|Tablet|100mg|31|321.96|MED1069
MED1070|Acetazolamide Injection|Injection|100mg|78|766.35|MED1070
MED1071|Acetazolamide Tablets|Tablet|100mg|42|863.46|MED1071
MED1072|Acetazolamide Tablets and Injection|Tablet|100mg|80|491.86|MED1072
MED1073|Acetazolamide XR|Tablet|100mg|14|116.05|MED1073
MED1074|Acetic Acid|Tablet|100mg|72|365.23|MED1074
MED1075|Acetohydroxamic Acid Tablets|Tablet|100mg|36|150.41|MED1075
MED1076|Acetyl Sulfisoxazole Pediatric Suspension|Suspension|100mg|65|377.26|MED1076
MED1077|Acetylcholine Chloride Intraocular Solution|Solution|100mg|11|920.89|MED1077
MED1078|Acetylcysteine Effervescent Tablets for Oral Solution|Tablet|100mg|20|285.56|MED1078
MED1079|Acetylcysteine for Oral Solution|Solution|100mg|83|552.67|MED1079
MED1080|Acetylcysteine Injection|Injection|100mg|18|104.84|MED1080
MED1081|Acetylcysteine Solution|Solution|100mg|39|346.79|MED1081
MED1082|Acetylsalicylic Acid|Tablet|100mg|76|825.07|MED1082
MED1083|Achromycin V|Tablet|100mg|40|801.71|MED1083
MED1084|Aci-Jel|Tablet|100mg|58|130.98|MED1084
MED1085|Acidul|Tablet|100mg|37|767.40|MED1085
MED1086|Aciphex|Tablet|100mg|62|985.05|MED1086
MED1087|Aciphex Sprinkle|Tablet|100mg|77|983.55|MED1087
MED1088|Acitretin|Tablet|100mg|16|512.53|MED1088
MED1089|Aclidinium Bromide|Tablet|100mg|13|830.90|MED1089
MED1090|Aclidinium Bromide and Formoterol Fumarate Inhalation Powder|Powder|100mg|55|816.11|MED1090
MED1091|Aclovate|Cream|100mg|82|194.36|MED1091
MED1092|Acova|Tablet|100mg|14|781.94|MED1092
MED1093|Acrivastine and Pseudoephedrine|Tablet|100mg|49|358.85|MED1093
MED1094|Actemra|Injection|100mg|80|107.76|MED1094
MED1095|ActHIB|Tablet|100mg|47|765.18|MED1095
MED1096|Acthrel|Injection|100mg|34|971.30|MED1096
MED1097|Acticin|Tablet|100mg|11|205.49|MED1097
MED1098|Acticlate|Tablet|100mg|75|966.67|MED1098
MED1099|Actidose with Sorbitol and Actidose-Aqua|Suspension|100mg|68|123.17|MED1099
MED1100|Actigall|Capsule|100mg|10|741.92|MED1100
MED1101|Actimmune|Tablet|100mg|26|163.95|MED1101
MED1102|Actiq|Tablet|100mg|85|776.81|MED1102
MED1103|Actisite|Tablet|100mg|32|915.02|MED1103
MED1104|Activase|Tablet|100mg|47|400.98|MED1104
MED1105|Activated Charcoal Suspension|Suspension|100mg|97|753.94|MED1105
MED1106|Activella|Tablet|100mg|50|615.86|MED1106
MED1107|Actonel|Tablet|100mg|32|366.61|MED1107
MED1108|Actonel with Calcium|Tablet|100mg|61|452.63|MED1108
MED1109|Actoplus MET, Actoplus MET XR|Tablet|100mg|50|936.21|MED1109
MED1110|Actos|Tablet|100mg|85|828.62|MED1110
MED1111|Acular|Tablet|100mg|95|552.19|MED1111
MED1112|Acular LS|Solution|100mg|14|159.30|MED1112
MED1113|Acuvail|Solution|100mg|78|460.49|MED1113
